marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
0,0,0,0,0,0,0,0,1,999,0,0,-1.8,93.075,-47.1,1.453,5099.1,0
1,1,0,1,0,1,1,0,1,999,0,0,-1.7,94.027,-38.3,0.8859999999999999,4991.6,0
0,1,0,1,0,1,1,1,4,999,0,0,1.4,93.444,-36.1,4.966,5228.1,0
0,2,0,1,1,1,2,2,1,999,0,0,-3.4,92.649,-30.1,0.722,5017.5,0
2,3,1,0,0,0,3,3,2,999,0,0,1.1,93.994,-36.4,4.86,5191.0,0
1,1,0,1,1,1,3,1,4,999,0,0,-1.8,92.893,-46.2,1.25,5099.1,0
0,2,0,1,1,1,2,4,2,999,0,0,-0.1,93.2,-42.0,4.12,5195.8,0
2,2,0,1,0,1,4,2,2,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0
0,3,0,1,0,0,3,3,4,999,0,0,1.1,93.994,-36.4,4.86,5191.0,0
0,3,0,1,1,1,4,2,2,999,0,0,1.4,93.918,-42.7,4.96,5228.1,0
0,4,0,2,2,0,5,1,3,999,0,0,1.4,94.465,-41.8,4.959,5228.1,0
1,5,1,1,0,0,3,1,5,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,1,1,0,0,3,1,1,999,0,0,1.1,93.994,-36.4,4.859,5191.0,1
0,1,0,1,0,1,1,4,8,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0
1,2,0,1,0,0,4,2,3,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0
0,1,0,0,0,0,5,1,1,999,0,0,1.4,94.465,-41.8,4.959,5228.1,0
0,2,0,1,0,1,1,1,1,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0
2,0,0,0,1,1,0,2,5,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,0
0,6,0,0,0,0,3,1,1,999,0,0,1.1,93.994,-36.4,4.864,5191.0,0
0,0,1,0,0,0,5,2,2,999,0,0,1.4,94.465,-41.8,4.865,5228.1,0
0,0,0,0,0,0,3,3,3,999,0,0,1.1,93.994,-36.4,4.855,5191.0,0
1,2,0,0,0,0,3,4,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
0,2,0,0,1,1,2,2,7,999,0,0,-3.4,92.649,-30.1,0.7140000000000001,5017.5,0
1,1,1,0,0,0,3,0,5,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,0,1,0,1,2,4,1,9,3,1,-3.4,92.649,-30.1,0.716,5017.5,0
0,3,0,0,0,0,3,3,4,999,0,0,-1.8,92.893,-46.2,1.266,5099.1,0
0,2,1,1,0,1,1,3,1,999,0,0,1.4,93.444,-36.1,4.963,5228.1,0
1,6,0,1,0,1,3,4,2,999,0,0,-1.8,92.893,-46.2,1.27,5099.1,0
0,0,0,1,1,1,1,3,4,999,0,0,1.4,93.444,-36.1,4.962,5228.1,0
1,6,0,1,0,1,3,2,4,999,0,0,-1.8,92.893,-46.2,1.244,5099.1,0
0,0,0,1,0,1,1,2,2,999,0,0,1.4,93.444,-36.1,4.965,5228.1,1
1,0,1,1,0,0,5,2,1,999,0,0,1.4,94.465,-41.8,4.865,5228.1,0
1,2,0,0,0,1,1,1,1,999,0,0,-2.9,92.201,-31.4,0.8490000000000001,5076.2,1
0,2,0,1,0,1,5,4,1,10,1,2,-2.9,92.963,-40.8,1.26,5076.2,0
0,1,0,1,0,0,4,4,1,999,0,0,1.4,93.918,-42.7,4.963,5228.1,0
0,1,1,0,0,1,1,4,2,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0
0,1,0,1,0,1,0,3,3,999,0,0,-1.8,93.075,-47.1,1.41,5099.1,0
0,3,0,1,0,0,3,2,2,999,0,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
0,3,0,1,1,1,4,0,2,999,0,0,1.4,93.918,-42.7,4.961,5228.1,0
1,3,1,1,1,0,3,2,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
0,2,0,0,0,0,5,1,3,999,0,0,1.4,94.465,-41.8,4.947,5228.1,0
1,2,0,0,0,1,1,0,1,3,3,2,-1.7,94.027,-38.3,0.904,4991.6,0
0,2,1,0,0,0,3,0,10,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0
0,2,1,0,0,1,1,3,8,999,0,0,1.4,93.444,-36.1,4.962,5228.1,0
0,3,1,0,0,0,3,1,3,999,0,0,1.1,93.994,-36.4,4.859,5191.0,0
0,3,0,0,0,1,1,4,2,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0
1,1,0,1,0,0,3,0,3,999,0,0,-1.8,92.893,-46.2,1.344,5099.1,0
0,1,0,1,0,1,0,1,1,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,0
2,1,0,1,0,0,3,0,5,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
1,3,0,1,0,0,3,3,5,999,0,0,-1.8,92.893,-46.2,1.266,5099.1,0
1,1,0,1,0,1,6,3,1,999,0,0,-1.1,94.199,-37.5,0.879,4963.6,0
0,6,0,1,0,0,3,4,3,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
0,4,0,1,0,1,4,4,2,999,0,0,1.4,93.918,-42.7,4.963,5228.1,0
0,6,1,1,0,1,3,0,1,999,0,0,-1.8,92.893,-46.2,1.266,5099.1,0
0,1,0,1,1,0,3,4,2,999,0,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
0,6,0,1,1,1,4,0,2,999,0,0,1.4,93.918,-42.7,4.961,5228.1,0
1,1,0,0,0,1,1,0,2,999,0,0,1.4,93.444,-36.1,4.963,5228.1,0
2,1,0,1,0,1,1,4,11,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0
1,2,0,0,0,1,1,3,2,999,0,0,-2.9,92.201,-31.4,0.873,5076.2,0
1,5,1,0,0,1,4,2,5,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0
0,0,0,1,0,0,3,2,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
0,2,0,0,0,1,1,3,17,999,0,0,1.4,93.444,-36.1,4.962,5228.1,0
0,0,1,1,1,0,5,2,4,999,0,0,1.4,94.465,-41.8,4.947,5228.1,0
0,1,0,0,0,1,2,0,3,999,0,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0
1,2,0,1,1,0,6,1,1,999,0,0,-1.1,94.199,-37.5,0.878,4963.6,0
0,2,0,0,0,1,1,3,4,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0
1,2,0,1,0,1,4,4,4,999,0,0,1.4,93.918,-42.7,4.963,5228.1,0
1,1,0,1,0,1,1,4,3,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0
2,3,0,1,0,1,2,4,1,999,0,0,-0.1,93.2,-42.0,4.12,5195.8,0
2,1,0,1,1,0,5,3,3,999,0,0,1.4,94.465,-41.8,4.961,5228.1,0
1,1,0,0,1,1,3,4,2,999,0,0,-1.8,92.893,-46.2,1.281,5099.1,1
2,2,0,1,0,0,3,0,3,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
2,1,0,1,0,0,3,4,4,999,0,0,1.1,93.994,-36.4,4.859,5191.0,0
0,3,1,1,0,1,1,2,3,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0
0,4,0,0,0,0,3,4,2,999,0,0,1.1,93.994,-36.4,4.859,5191.0,0
0,0,0,1,0,0,5,2,25,999,0,0,1.4,94.465,-41.8,4.96,5228.1,0
2,1,0,0,0,1,1,0,2,999,0,0,1.4,93.444,-36.1,4.966,5228.1,0
0,1,1,1,0,1,1,4,9,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0
0,2,0,0,0,0,5,1,4,999,0,0,1.4,94.465,-41.8,4.947,5228.1,0
2,2,1,1,1,1,3,2,1,999,0,0,-1.8,92.893,-46.2,1.2990000000000002,5099.1,1
0,0,1,0,0,0,3,3,1,999,0,0,1.1,93.994,-36.4,4.855,5191.0,0
